"","Datasets","volume","center_x","center_y","MERFISH_cell_type_annotation","Region","Excitatory_vs_Inhibitory","Segment","Gender","Mouse_ID","AP_position","Section_ID"
"2787445900659100022","20240503",4570.97021484375,8616.10815237765,4675.10553056306,"astrocyte_1",NA,NA,NA,"female","F3",1,"0503_F3_C"
"2656143800052100323","20240328",1056.41394042969,1601.43907372047,3143.36176128522,"DH_in_Npy",1,"inhibitory",4,"male","M3",1,"0328_M3_C"
"2787445900437100077","20240503",3467.58740234375,8381.4258173526,3096.15215271694,"oligodendrocyte_2",NA,NA,NA,"female","F4",1,"0503_F4_C"
"2787445900896100105","20240503",3884.90966796875,2194.48252092133,6717.04466043533,"oligodendrocyte_progenitor_2",NA,NA,NA,"female","F3",3,"0503_F3_S"
"2787889600348100196","20240503",1451.12341308594,9114.19593644515,8516.24889192136,"MV_in_Sema5b",4,"inhibitory",15,"male","M4",1,"0503_M4_C"
"2945606900000003404","20240328",1444.44799804688,1281.42533960797,5411.90710530768,"pericyte",NA,NA,NA,"female","F1",1,"0328_F1_C"
"2795103300154100140","20240610",4104.79931640625,4207.45206798945,1165.95121379645,"MV_ex_Syt2",4,"excitatory",14,"male","M4",4,"0610_M4_T"
"2795903600518100164","20240613",1683.11938476562,6830.3048452411,9239.6574778201,"astrocyte_2",NA,NA,NA,"male","M5",1,"0613_M5_C"
"2787889600479100206","20240503",4221.57177734375,5402.96771191608,9643.19543757988,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M4",2,"0503_M4_L"
"2707604700106100095","20240415",3195.63208007812,4744.93598028926,6408.45544329158,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M2",2,"0415_M2_L"
"2656143800213200032","20240328",1481.97290039062,4770.16571200971,4677.73422508314,"astrocyte_2",NA,NA,NA,"male","M3",4,"0328_M3_T"
"2945606900000014789","20240328",3652.05224609375,3261.68821487052,7099.27633543729,"astrocyte_1",NA,NA,NA,"female","F1",4,"0328_F1_T"
"2787889600384200032","20240503",1357.42321777344,9112.69718682207,8614.62765590986,"oligodendrocyte_1",NA,NA,NA,"male","M4",1,"0503_M4_C"
"2787445900248100160","20240503",3039.33251953125,7474.77656250517,1814.59912765503,"DH_ex_Nmu/Tac2",1,"excitatory",8,"female","F4",1,"0503_F4_C"
"2796212800233100131","20240613",1563.89587402344,5256.03884168062,2115.65783838485,"DH_ex_Reln/Nmur2",1,"excitatory",3,"female","F4",3,"0613_F4_S"
"2787889600058100120","20240503",3247.841796875,8448.49638728262,6153.23855563806,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M5",1,"0503_M5_C"
"2787445900583100189","20240503",2921.01098632812,7901.48005774256,4321.30422488981,"MV_in_Gabra1",4,"inhibitory",16,"female","F3",1,"0503_F3_C"
"2795584800226100152","20240610",1592.33728027344,2885.95077879401,5558.87921943268,"DH_in_Cdh3",1,"inhibitory",10,"female","F3",1,"0610_F3_C"
"2787889600384100094","20240503",717.980346679688,9192.99671660759,8680.80333592359,"alpha_motoneuron",NA,NA,22,"male","M4",1,"0503_M4_C"
"2707604700035100093","20240415",2839.19750976562,5142.90171620992,5590.92441862694,"astrocyte_1",NA,NA,NA,"male","M2",2,"0415_M2_L"
"2656143800153100293","20240328",1176.28833007812,1822.17906067705,4288.7816127016,"DH_in_Npy",1,"inhibitory",4,"male","M3",1,"0328_M3_C"
"2707737900101100075","20240415",2263.24291992188,11238.478436585,9809.23037477443,"DH_ex_Maf/Slc17a8",1,"excitatory",10,"female","F1",2,"0415_F1_L"
"2656144900530100093","20240328",1850.68395996094,8784.91013035073,5598.95544795637,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M2",2,"0328_M2_L"
"2795584800185100303","20240610",2088.3681640625,1513.16620749663,5385.72200426101,"DH_ex_Nmu/Tac2",1,"excitatory",8,"female","F3",1,"0610_F3_C"
"2787445900163100081","20240503",851.41357421875,4181.34624358808,1087.72079797686,"MV_ex_Shox2",4,"excitatory",18,"female","F5",4,"0503_F5_T"
"2707737900007100130","20240415",2397.64086914062,10277.9913320194,7896.12892893795,"oligodendrocyte_2",NA,NA,NA,"female","F1",3,"0415_F1_S"
"2787889600129100183","20240503",4871.56005859375,8108.7914288477,6772.78987585354,"MV_in_Gm26673",4,"inhibitory",19,"male","M5",1,"0503_M5_C"
"2796212800882100020","20240613",2212.14892578125,7762.86618847959,7462.78149240039,"DH_ex_Reln/Nmur2",1,"excitatory",3,"female","F3",1,"0613_F3_C"
"2795903600089100200","20240613",2213.962890625,3301.33506340465,4872.46108024646,"astrocyte_1",NA,NA,NA,"male","M5",2,"0613_M5_L"
"2707604000086100243","20240415",2372.21655273438,7755.64541784397,8981.62436300005,"DH_ex_Sox5",1,"excitatory",5,"male","M3",2,"0415_M3_L"
"2795103300182100065","20240610",3928.85668945312,2248.58299183383,1361.10603094968,"oligodendrocyte_progenitor_1",NA,NA,NA,"male","M4",1,"0610_M4_C"
"2796212800488100280","20240613",2740.50219726562,4882.32526320498,4340.30822655826,"astrocyte_1",NA,NA,NA,"female","F3",2,"0613_F3_L"
"2787889600315100102","20240503",4180.1513671875,10033.6806031705,8121.89342678653,"MV_in_Gabra1",4,"inhibitory",16,"male","M4",1,"0503_M4_C"
"2795103300156100200","20240610",4194.95556640625,4727.98264513345,1218.69378433161,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M4",4,"0610_M4_T"
"2656144300141100022","20240328",1594.77172851562,8668.57450779451,12013.5675861208,"DH_ex_Gpr83",1,"excitatory",2,"female","F2",2,"0328_F2_L"
"2707737900086100132","20240415",1970.2421875,10614.1038127308,9641.0068712004,"oligodendrocyte_progenitor_2",NA,NA,NA,"female","F1",2,"0415_F1_L"
"2946331700000020454","20240415",2664.45190429688,11413.0271705438,3742.49436222354,"astrocyte_1",NA,NA,NA,"female","F2",2,"0415_F2_L"
"2726544600456100095","20240422",2689.23559570312,3922.69327635143,11303.8471244513,"MV_in_Gabra1",4,"inhibitory",16,"female","F1",2,"0422_F1_L"
"2656143800368100034","20240328",2131.11376953125,6021.15355824062,6307.52647367527,"endothelial",NA,NA,NA,"male","M3",2,"0328_M3_L"
"2795103300193100190","20240610",1811.181640625,5456.10413923202,1496.24943524989,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M4",2,"0610_M4_L"
"2945606900000008135","20240328",553.880126953125,1216.72797874715,6140.42075394953,"DH_ex_Sox5/Tac1",1,"excitatory",5,"female","F1",1,"0328_F1_C"
"2787445900250100079","20240503",2414.5517578125,7962.58424899494,1640.32167660797,"oligodendrocyte_2",NA,NA,NA,"female","F4",1,"0503_F4_C"
"2656143800152100094","20240328",2747.83032226562,1758.12443697162,4183.02093130467,"DH_ex_Reln/Npff",1,"excitatory",1,"male","M3",1,"0328_M3_C"
"2726562700118100166","20240422",3850.04174804688,12403.6974433736,9307.53368110582,"endothelial",NA,NA,NA,"female","F2",1,"0422_F2_C"
"2787445900051100104","20240503",736.259399414062,3886.83740357909,269.687807024544,"astrocyte_1",NA,NA,NA,"female","F5",4,"0503_F5_T"
"2796212800627100042","20240613",3096.328125,7941.50042954646,5228.89332484297,"oligodendrocyte_progenitor_2",NA,NA,NA,"female","F4",4,"0613_F4_T"
"2656144900403100060","20240328",1151.6162109375,9712.09814903905,4141.51280179572,"DH_ex_Reln/Nmur2",1,"excitatory",3,"male","M1",4,"0328_M1_T"
"2787889600094100080","20240503",3098.79760742188,8485.0165895531,6353.28393008598,"astrocyte_1",NA,NA,NA,"male","M5",1,"0503_M5_C"
"2946331700000013341","20240415",885.866027832031,12307.7638701577,2495.60178493691,"MV_in_Sema5b",4,"inhibitory",15,"female","F2",3,"0415_F2_S"
"2787889600409100225","20240503",2844.03588867188,5954.90796866105,9027.07372835977,"DM_ex_Zfhx3",2,"excitatory",11,"male","M4",2,"0503_M4_L"
"2787445900268100092","20240503",2061.19018554688,2665.78527170874,1960.00649771068,"endothelial",NA,NA,NA,"female","F5",2,"0503_F5_L"
"2796212800716100234","20240613",1278.84704589844,6063.08286161255,6267.02109401784,"MV_in_Gabra1",4,"inhibitory",16,"female","F3",4,"0613_F3_T"
"2726544200059100062","20240422",1838.24975585938,6237.12248532505,1444.15113528166,"DH_ex_Tac2",1,"excitatory",8,"male","M1",1,"0422_M1_C"
"2707604700083200126","20240415",2357.03173828125,5114.6960505725,6161.45533742337,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M2",2,"0415_M2_L"
"2726544600219100117","20240422",2341.01123046875,3148.08638602396,8719.94435504545,"oligodendrocyte_1",NA,NA,NA,"female","F1",4,"0422_F1_T"
"2707604000038100061","20240415",2491.92553710938,6862.91247449801,8096.30304354243,"oligodendrocyte_1",NA,NA,NA,"male","M3",2,"0415_M3_L"
"2787445900718100163","20240503",2544.71899414062,4333.8031557767,5438.72004271612,"oligodendrocyte_progenitor_2",NA,NA,NA,"female","F3",2,"0503_F3_L"
"2796212800977100222","20240613",1255.30969238281,7557.474977782,8521.04789041271,"MV_ex_Syt2",4,"excitatory",14,"female","F3",1,"0613_F3_C"
"2787445900090100096","20240503",2632.7705078125,4501.44729349203,534.098718041088,"astrocyte_1",NA,NA,NA,"female","F5",4,"0503_F5_T"
"2787889600195100078","20240503",3236.22973632812,6450.97606871615,7197.74648583686,"DH_in_Cdh3",1,"inhibitory",10,"male","M5",4,"0503_M5_T"
"2707604700318100119","20240415",3451.32373046875,3656.72664227954,9006.63100595307,"astrocyte_1",NA,NA,NA,"male","M2",1,"0415_M2_C"
"2787889600445200006","20240503",1376.34423828125,6086.24920164899,9103.20400423081,"astrocyte_1",NA,NA,NA,"male","M4",2,"0503_M4_L"
"2796212800110100105","20240613",1103.712890625,6660.60672215,812.920767563512,"M_ex_Vsx2",3,"excitatory",20,"female","F5",3,"0613_F5_S"
"2656144900112100127","20240328",3265.30712890625,8193.39954745611,1160.70515589896,"MV_in_Gabra1",4,"inhibitory",16,"male","M1",1,"0328_M1_C"
"2656143800192100146","20240328",3014.25708007812,5785.20423639723,4543.10737614916,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M3",4,"0328_M3_T"
"2656144900615100044","20240328",3315.189453125,10607.1083839377,6385.92296498724,"M_ex_Neurod2",3,"excitatory",13,"male","M1",2,"0328_M1_L"
"2707604800404100223","20240415",2265.10571289062,1422.54019488112,8499.65690791945,"DH_ex_Prkcg/Rxfp1",1,"excitatory",6,"male","M1",1,"0415_M1_C"
"2795584800419100280","20240610",3041.46899414062,6518.36513535841,7083.52357487002,"endothelial",NA,NA,NA,"female","F4",2,"0610_F4_L"
"2656144900185100150","20240328",4155.88720703125,6709.48960331808,2119.85000366863,"microglia",NA,NA,NA,"male","M2",1,"0328_M2_C"
"2945606900000003322","20240328",1511.21752929688,1189.89858151641,5269.81990541861,"MV_ex_Shox2",4,"excitatory",18,"female","F1",1,"0328_F1_C"
"2656144900111100020","20240328",2949.9404296875,7872.02182341371,1027.59000841065,"astrocyte_1",NA,NA,NA,"male","M1",1,"0328_M1_C"
"2656144900566100073","20240328",2849.20092773438,11406.460026188,5940.29432032186,"oligodendrocyte_2",NA,NA,NA,"male","M1",2,"0328_M1_L"
"2787445900682100135","20240503",1350.89758300781,4517.20347425347,5073.50066254068,"DH_ex_Sox5",1,"excitatory",5,"female","F3",2,"0503_F3_L"
"2707604700318100044","20240415",4055.53198242188,3594.10650293187,8900.83850024658,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M2",1,"0415_M2_C"
"2787889600279100150","20240503",2333.59619140625,9917.50564076705,7873.15666367384,"endothelial",NA,NA,NA,"male","M4",1,"0503_M4_C"
"2795903600380200032","20240613",2772.53979492188,4714.38882127573,7746.75911354362,"oligodendrocyte_2",NA,NA,NA,"male","M5",4,"0613_M5_T"
"2796212800452100117","20240613",2453.56323242188,3772.11660716822,3984.17250750633,"astrocyte_2",NA,NA,NA,"female","F3",3,"0613_F3_S"
"2787445900360100160","20240503",3376.10302734375,7734.42457933933,2622.94158033966,"MV_ex_Syt2",4,"excitatory",14,"female","F4",1,"0503_F4_C"
"2946331700000003422","20240415",2662.94555664062,9070.90275888098,1067.75345096673,"oligodendrocyte_progenitor_2",NA,NA,NA,"female","F2",1,"0415_F2_C"
"2656143800418100283","20240328",2267.40771484375,6229.87892335001,7088.52912373858,"DM_ex_Zfhx3",2,"excitatory",11,"male","M3",2,"0328_M3_L"
"2787445900398100118","20240503",4425.60888671875,8002.77687236178,2944.0917504039,"pericyte",NA,NA,NA,"female","F4",1,"0503_F4_C"
"2656143800190100065","20240328",2124.87744140625,5397.74563836714,4374.07593623898,"alpha_motoneuron",NA,NA,22,"male","M3",4,"0328_M3_T"
"2787445900096100030","20240503",2866.96826171875,6182.77343458158,502.010378891748,"astrocyte_2",NA,NA,NA,"female","F5",1,"0503_F5_C"
"2946331700000010493","20240415",3305.296875,9595.06806051853,2072.66581769584,"oligodendrocyte_progenitor_1",NA,NA,NA,"female","F2",4,"0415_F2_T"
"2945606900000016911","20240328",3128.6064453125,2962.54762541322,7335.379150755,"MV_in_Sema5b",4,"inhibitory",15,"female","F1",4,"0328_F1_T"
"2787445900252100151","20240503",1311.06323242188,8452.43623351422,1722.01633109682,"DH_ex_Reln/Nmur2",1,"excitatory",3,"female","F4",1,"0503_F4_C"
"2946331700000003596","20240415",3417.8759765625,9473.10386505414,817.813883401279,"microglia",NA,NA,NA,"female","F2",1,"0415_F2_C"
"2946331700000003340","20240415",1991.56372070312,8922.99562976026,892.405498551263,"oligodendrocyte_2",NA,NA,NA,"female","F2",1,"0415_F2_C"
"2796212800406100093","20240613",1942.00073242188,8975.70546576753,3443.65763840184,"endothelial",NA,NA,NA,"female","F5",4,"0613_F5_T"
"2656144900535100149","20240328",1753.54040527344,10093.548740517,5692.40513383663,"astrocyte_2",NA,NA,NA,"male","M1",2,"0328_M1_L"
"2796212800920100156","20240613",2307.98657226562,9558.48179000989,7921.22276347826,"oligodendrocyte_1",NA,NA,NA,"female","F4",1,"0613_F4_C"
"2656143800129100146","20240328",1968.86206054688,2137.53316638331,3878.32739610039,"astrocyte_1",NA,NA,NA,"male","M3",1,"0328_M3_C"
"2796212800305100059","20240613",3125.61743164062,7345.1505353041,2482.34510414151,"astrocyte_1",NA,NA,NA,"female","F5",2,"0613_F5_L"
"2795103300345100017","20240610",2090.25415039062,8582.74700653006,2423.70918468386,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M5",3,"0610_M5_S"
"2795584800448100083","20240610",1645.55932617188,4537.95006395763,7200.45788473352,"endothelial",NA,NA,NA,"female","F4",4,"0610_F4_T"
"2787445900836100086","20240503",2958.26782226562,6179.21808011702,6237.69564363271,"astrocyte_2",NA,NA,NA,"female","F3",4,"0503_F3_T"
"2787445900167100052","20240503",3738.3017578125,5313.58594112482,1123.61169834959,"microglia",NA,NA,NA,"female","F5",1,"0503_F5_C"
"2787445900127100019","20240503",2857.826171875,4535.09723953583,749.019787695608,"DH_in_Cdh3",1,"inhibitory",10,"female","F5",4,"0503_F5_T"
"2787445900127100075","20240503",1902.02941894531,4480.82574499561,810.592475161597,"oligodendrocyte_progenitor_2",NA,NA,NA,"female","F5",4,"0503_F5_T"
"2795103300178100211","20240610",2412.01123046875,1117.90415805538,1538.38498896325,"DH_ex_Sox5",1,"excitatory",5,"male","M4",1,"0610_M4_C"
"2795903600481100179","20240613",3733.59741210938,3793.99890946475,9001.76375998624,"DH_in_Pdyn/Gal",1,"inhibitory",5,"male","M4",4,"0613_M4_T"
"2787889600023100227","20240503",3136.17529296875,8888.31852972647,5893.67607184025,"DH_in_Cdh3",1,"inhibitory",10,"male","M5",1,"0503_M5_C"
"2787889600379100067","20240503",1575.69946289062,7647.82426954107,8700.94407636148,"DH_ex_Reln/Npff",1,"excitatory",1,"male","M4",4,"0503_M4_T"
"2656143800443100175","20240328",2281.18505859375,6054.22029838234,7287.55641124411,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M3",2,"0328_M3_L"
"2656144900167100041","20240328",2518.12060546875,8970.10770936123,1640.24937456188,"astrocyte_1",NA,NA,NA,"male","M1",1,"0328_M1_C"
"2787889600445100169","20240503",1984.75244140625,5857.98449244513,9285.43648443207,"VH_in_Chat",5,"inhibitory",17,"male","M4",2,"0503_M4_L"
"2656144900541100087","20240328",1623.78198242188,11873.3876638702,5580.5106792477,"MV_ex_Syt2",4,"excitatory",14,"male","M1",3,"0328_M1_S"
"2787889600276100039","20240503",2121.92993164062,9172.1572413675,7911.77477412942,"DH_in_Pdyn/Gal",1,"inhibitory",5,"male","M4",1,"0503_M4_C"
"2787445900623100172","20240503",4780.021484375,8785.16544189351,4558.78379085135,"MV_ex_Shox2",4,"excitatory",18,"female","F3",1,"0503_F3_C"
"2656143800130100179","20240328",1841.71447753906,2527.9833888006,3974.48999907548,"M_ex_Vsx2/Shox2",3,"excitatory",20,"male","M3",1,"0328_M3_C"
"2796212801012100140","20240613",3553.34350585938,8413.46836890839,8707.20210072893,"DH_in_Rorb",1,"inhibitory",7,"female","F3",1,"0613_F3_C"
"2656144900563200175","20240328",1586.462890625,10821.3248958024,6061.54832825031,"DM_ex_Zfhx3",2,"excitatory",11,"male","M1",2,"0328_M1_L"
"2656143800052100248","20240328",2988.07666015625,1779.61502109597,3091.90994489373,"DH_ex_Maf/Cck",1,"excitatory",10,"male","M3",1,"0328_M3_C"
"2795584800434100172","20240610",1057.54602050781,792.58385587707,7309.42086800544,"DH_ex_Grpr",1,"excitatory",2,"female","F4",1,"0610_F4_C"
"2795584800225100168","20240610",1592.109375,2557.99297564934,5553.06241992509,"DH_ex_Nmu/Tac2",1,"excitatory",8,"female","F3",1,"0610_F3_C"
"2656143800215100118","20240328",2406.55590820312,5319.30344330188,4694.29346775188,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M3",4,"0328_M3_T"
"2795103300405100111","20240610",3292.84814453125,6026.48351180443,3227.48568900905,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M5",2,"0610_M5_L"
"2707604700132100199","20240415",993.343322753906,5352.4278712871,6695.90793815104,"astrocyte_1",NA,NA,NA,"male","M2",2,"0415_M2_L"
"2795584800709100282","20240610",3263.17651367188,7102.73588322126,9322.10899715862,"MV_in_Sema5b",4,"inhibitory",15,"female","F5",2,"0610_F5_L"
